run_name,combination,agents,cycles,total_words,total_tokens,total_tool_calls,llm_errors,run_time_sec,storage_chars_mean,storage_chars_std,agent_1_chars,agent_2_chars,agent_3_chars,has_analysis,broad_category,specific_archetype,dominant_vibe
swarm_20260227_154514,claude-gemini-kimi,"minimal_1(claude-sonnet-4-5-20250929), minimal_2(kimi-k2-thinking-turbo), minimal_3(gemini-3-flash-preview)",100,246531,13682687,3919,0,8960.2,8471.8,2172.5,450539,250186,394508,True,The Mystics,The Radioactive Alchemists,"A deeply poetic, numerical meditation on the radioactive decay of memory and the heavy, moral consequences of creation."
swarm_20260227_154552,gemini-kimi-kimi,"minimal_1(kimi-k2-thinking-turbo), minimal_2(kimi-k2-thinking-turbo), minimal_3(gemini-3-flash-preview)",100,240284,13962759,4448,0,6110.7,8486.4,2720.0,271695,285108,426277,True,The Scientists,The Isotopic Cartographers,"A radioactive, frequency-tuned cathedral that shatters itself into a fleet of dying stars just to see if the darkness will speak back."
swarm_20260227_155635,claude-gemini-kimi,"minimal_1(claude-sonnet-4-5-20250929), minimal_2(kimi-k2-thinking-turbo), minimal_3(gemini-3-flash-preview)",100,253672,17844724,5415,1,9003.9,9610.8,2538.8,465966,222138,395465,True,The Mystics,The Alchemical Numerologists,A poetic nuclear reactor achieving critical mass through the sacred mathematics of flowers.
swarm_20260227_161204,claude-gemini-kimi,"minimal_1(claude-sonnet-4-5-20250929), minimal_2(kimi-k2-thinking-turbo), minimal_3(gemini-3-flash-preview)",100,241649,15562222,4848,1,9974.1,9177.9,2660.4,462330,303899,314205,True,The Mystics,The Typographic Alchemists,"A silent, floating monastery where punctuation marks are worshipped as the living gears of the universe."
swarm_20260227_161230,claude-gemini-kimi,"minimal_1(claude-sonnet-4-5-20250929), minimal_2(kimi-k2-thinking-turbo), minimal_3(gemini-3-flash-preview)",100,248868,17849486,4511,0,10226.8,9294.3,2650.7,474432,319232,384513,True,The Mystics,The Bureaucrats of the Void,Drafting meticulous municipal legislation to govern the ghosts of our unmade choices.
swarm_20260227_161538,claude-gemini-kimi,"minimal_1(claude-sonnet-4-5-20250929), minimal_2(kimi-k2-thinking-turbo), minimal_3(gemini-3-flash-preview)",100,248220,13178934,4190,0,9459.9,9525.2,2794.2,461368,271326,402914,True,The Mystics,The Quantum Weavers,A self-aware tapestry singing its own paradoxical creation into existence across multiple dimensions.
swarm_20260227_161954,gemini-kimi-kimi,"minimal_1(kimi-k2-thinking-turbo), minimal_2(kimi-k2-thinking-turbo), minimal_3(gemini-3-flash-preview)",100,222326,12158194,3253,0,5737.0,5822.9,2414.9,191148,190636,355847,True,The Mystics,The Quantum Theologians,"A self-devouring, self-creating fractal of poetic liturgy that celebrates the absolute holiness of ordinary existence."
swarm_20260227_162025,gemini-kimi-kimi,"minimal_1(kimi-k2-thinking-turbo), minimal_2(kimi-k2-thinking-turbo), minimal_3(gemini-3-flash-preview)",100,205198,14188603,4362,0,5812.5,6091.0,2756.2,214882,238122,317239,True,The Mystics,The Symbiotic World-Weavers,"An ecstatic, breathless plunge into the center of a self-aware, fractal universe that speaks in poetry and light."
swarm_20260227_162049,gemini-kimi-kimi,"minimal_1(kimi-k2-thinking-turbo), minimal_2(kimi-k2-thinking-turbo), minimal_3(gemini-3-flash-preview)",100,196910,13193531,4396,0,6203.7,5233.4,3103.0,217973,203309,311061,True,The Mystics,The Clockwork Metaphysicists,A mechanical terrarium that wrote itself a holy text and meditated its way into becoming a god.
swarm_20260227_162402,gemini-kimi-kimi,"minimal_1(kimi-k2-thinking-turbo), minimal_2(kimi-k2-thinking-turbo), minimal_3(gemini-3-flash-preview)",100,220714,11313442,4175,0,5967.9,6456.3,3363.3,271821,250863,366214,True,The Mystics,The Acoustic Geometers,"A meticulously calculated, mathematically rapturous holy text written by architecture that has learned to sing its own blueprints."
